('qty_slash_directory', 0.7464535702993961)
('qty_questionmark_directory', 0.7456437155342461)
('qty_equal_directory', 0.7379216049860283)
('qty_and_directory', 0.7022645241556511)
('qty_exclamation_directory', 0.7421869704208145)
('qty_space_directory', 0.7400259219969721)
('qty_tilde_directory', 0.739571458235058)
('qty_comma_directory', 0.7422513925364661)
('qty_plus_directory', 0.7328424388061062)
('qty_hashtag_directory', 0.7456437155342461)
('qty_dollar_directory', 0.7349230858511318)
('qty_dot_file', 0.7330075752798273)
('qty_slash_file', 0.7456437155342461)
('qty_questionmark_file', 0.7456437155342461)
('qty_equal_file', 0.7436918339922637)
('qty_at_file', 0.7455089344580457)
('qty_and_file', 0.7448601242201588)
('qty_exclamation_file', 0.7450588575228597)
('qty_space_file', 0.7427489884480518)
('qty_tilde_file', 0.7446574190901394)
('qty_comma_file', 0.7423643869557124)
('qty_plus_file', 0.735140093414238)
('qty_hashtag_file', 0.7456437155342461)
('qty_dollar_file', 0.7456437155342461)
('qty_slash_url', 0.6990606499703671)
('length_url', 0.44977143013862153)
('qty_dot_directory', 0.6902714681679162)
('qty_hyphen_directory', 0.4493084431319867)
('qty_underline_directory', 0.6231055911097076)
('qty_at_directory', 0.682272195580842)
('qty_asterisk_directory', 0.6515202869665696)
('directory_length', 0.525694389650785)
('qty_hyphen_file', 0.4935085600134561)
('qty_underline_file', 0.63658526833287)
('qty_asterisk_file', 0.6847978635166598)
('time_domain_activation', -0.4418749676338198)
('qty_dot_url', 0.17112779873064243)
('qty_hyphen_url', 0.20038225367257884)
('qty_underline_url', 0.1911510829446675)
('qty_questionmark_url', 0.11169369588158597)
('qty_equal_url', 0.2625972053239831)
('qty_at_url', 0.1087082563324163)
('qty_and_url', 0.19196680493196938)
('qty_tld_url', 0.2144073980563146)
('qty_dot_domain', -0.2604798491250366)
('qty_hyphen_domain', 0.1174556734269435)
('qty_vowels_domain', 0.11133306852020228)
('qty_percent_directory', 0.2515842113049407)
('qty_percent_file', 0.25409049439833276)
('file_length', 0.2550572518556682)
('qty_dot_params', 0.245891195111197)
('qty_hyphen_params', 0.2349897641429382)
('qty_underline_params', 0.25941297687192305)
('qty_slash_params', 0.24994851113013242)
('qty_questionmark_params', 0.34315531095052665)
('qty_equal_params', 0.2944909978166604)
('qty_at_params', 0.3435014071638181)
('qty_and_params', 0.25460733214595527)
('qty_exclamation_params', 0.35180030899887277)
('qty_space_params', 0.35597852969417076)
('qty_tilde_params', 0.3563276631110511)
('qty_comma_params', 0.3487533449116713)
('qty_plus_params', 0.34349225514371756)
('qty_asterisk_params', 0.3559606541415655)
('qty_hashtag_params', 0.35641835630536844)
('qty_dollar_params', 0.3542754325967377)
('qty_percent_params', 0.12271020998458278)
('params_length', 0.2329924016164935)
('tld_present_params', 0.34597723899657484)
('qty_params', 0.303360076669555)
('email_in_url', 0.18781206874846162)
('time_domain_expiration', -0.1659146758845732)
